last_changed,aqi_sciosense,eco2,humidity,sound,temperature,tvoc,fteg,radar_sensor,occupancy
2024-12-13T17:50:04,161,1210,31.43,532.1366667,24.53,1310,174.56,5,5
2024-12-13T17:50:05,161,1210,31.41,615.437,24.53,1310,173.68,5,5
2024-12-13T17:50:06,161,1212,31.41,433.635,24.53,1316,176.24,5,5
2024-12-13T17:50:07,161,1212,31.42,583.7111111,24.5,1316,174,5,5
2024-12-13T17:50:08,160,1209,31.42,657.1116667,24.5,1307,173.43,5,5
2024-12-13T17:50:09,160,1209,31.42,602.6685714,24.5,1307,176.43,0,5
2024-12-13T17:50:10,155,1196,31.37,555.0181818,24.53,1267,172.56,5,5
2024-12-13T17:50:11,155,1196,31.37,761.0771429,24.53,1267,169.88,5,5
2024-12-13T17:50:12,155,1196,31.37,549.01,24.5,1267,167.26,5,5
2024-12-13T17:50:13,157,1198,31.37,570.9525,24.5,1273,161.7,5,5
2024-12-13T17:50:14,157,1198,31.41,477.6457143,24.53,1273,161.95,5,5
2024-12-13T17:50:15,154,1191,31.41,552.8225,24.53,1251,156.27,5,5
2024-12-13T17:50:16,154,1191,31.41,558.783,24.53,1251,153.21,5,5
2024-12-13T17:50:17,156,1194,31.41,825.362,24.53,1261,153.21,5,5
2024-12-13T17:50:18,156,1194,31.41,608.625,24.53,1261,146.1,5,5
2024-12-13T17:50:19,155,1190,31.41,674.667,24.53,1248,140.11,5,5
2024-12-13T17:50:20,155,1190,31.43,624.99,24.52,1248,130.12,5,5
2024-12-13T17:50:21,154,1187,31.43,705.612,24.52,1239,118.61,5,5
2024-12-13T17:50:22,154,1187,31.43,646.48,24.52,1239,118.61,5,5
2024-12-13T17:50:23,154,1186,31.43,530.0084615,24.52,1236,113.33,0,5
2024-12-13T17:50:24,154,1186,31.42,586.8136364,24.5,1236,109.28,5,5
2024-12-13T17:50:25,154,1186,31.42,635.9385714,24.5,1236,104.22,5,5
2024-12-13T17:50:26,158,1196,31.42,659.3722222,24.5,1267,104.22,5,5
2024-12-13T17:50:27,158,1196,31.41,588.21,24.53,1267,104.22,5,5
2024-12-13T17:50:28,154,1185,31.41,729.8422222,24.53,1233,94.7025,5,5
2024-12-13T17:50:29,154,1185,31.41,627.4727273,24.53,1233,70.77,5,5
2024-12-13T17:50:30,156,1191,31.41,572.644,24.53,1251,69.4,5,4
2024-12-13T17:50:31,156,1191,31.41,445.2375,24.52,1251,69.4,5,4
2024-12-13T17:50:32,157,1194,31.41,611.6488235,24.52,1261,64.125,5,4
2024-12-13T17:50:33,157,1194,31.41,722.32,24.53,1261,64.125,5,4
2024-12-13T17:50:34,161,1205,31.41,577.104,24.53,1294,68.275,5,4
2024-12-13T17:50:35,161,1205,31.41,696.504,24.53,1294,68.275,0,3
